"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J10,J9,J8,J5,J3,J11,J6,J7,J4";"PinHeader_1x03_P2.54mm_Vertical";9;"PINHD_1x3_Male";;;
2;"J2,J1,J12";"MountingHole_3.5mm_Pad";3;"PINHD_1x1_Male";;;
3;"U1";"ESP32-DevKitC";1;"ESP32-DevKitC";;;
4;"C11,C2,C7,C12,C8,C9,C6,C3,C5,C10,C4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";11;"10nF_Ceramic";;;
5;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
6;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"4.7uF_16V";;;
7;"F1";"Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"Fuse";;;
8;"L1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"L,ferrite-bead,IEEE";;;
9;"J13";"USB_Micro-B_Amphenol_10118193-0002LF_Horizontal";1;"USB_B_Micro";;;
10;"P1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Plug";;;
